Date,IDRA,GILD
2007-10-12,10.11,20.592701663578
2007-10-15,9.94,19.978508755746
2007-10-16,10.0,20.163979320248
2007-10-17,9.97,20.31616029625
2007-10-18,10.0,20.691857080754
2007-10-19,10.03,19.973753100246
2007-10-22,10.45,20.244825463749
2007-10-23,10.75,20.458829961252
2007-10-24,11.34,20.905861578257
2007-10-25,11.71,21.642988180766
2007-10-26,12.1,22.051974553771
2007-10-29,12.2,21.856992678269
2007-10-30,12.0,21.628721214266
2007-10-31,11.5,21.96637275477
2007-11-01,11.5,21.771390879268
2007-11-02,11.55,22.308779950774
2007-11-05,11.98,22.446693960276
2007-11-06,12.45,22.403893060776
2007-11-07,12.75,21.219734841261
2007-11-08,12.49,21.433739338764
2007-11-09,11.55,20.720391013755
2007-11-12,11.9,20.240069808249
2007-11-13,12.15,20.501630860752
2007-11-14,11.95,20.882083300757
2007-11-15,11.75,20.758436257755
2007-11-16,11.65,21.229246152261
2007-11-19,11.92,20.582477004253
2007-11-20,11.28,20.805992812756
2007-11-21,10.9,20.477852583252
2007-11-23,11.32,20.601499626253
2007-11-26,11.75,19.930952200745
2007-11-27,11.69,21.15791131976
2007-11-28,11.95,21.795169156768
2007-11-29,12.05,21.761879568268
2007-11-30,12.15,22.132820697272
2007-12-03,12.25,21.847481367269
2007-12-04,12.3,21.500318515764
2007-12-05,12.35,22.246956429274
2007-12-06,12.37,22.641675835778
2007-12-07,12.43,22.384870438775
2007-12-10,12.31,22.703499357279
2007-12-11,12.08,21.799924812268
2007-12-12,11.6,22.280246017774
2007-12-13,11.57,21.97588406577
2007-12-14,11.57,21.804680467768
2007-12-17,12.06,21.609698592266
2007-12-18,11.29,21.662010802766
2007-12-19,11.1999,21.771390879268
2007-12-20,10.95,21.837970056269
2007-12-21,10.64,22.094775453272
2007-12-24,11.25,22.308779950774
2007-12-26,11.73,22.418160027276
2007-12-27,12.17,22.023440620771
2007-12-28,12.4,22.032951931771
2007-12-31,13.1,21.880770955769
2008-01-02,13.28,21.562142037265
2008-01-03,13.29,22.299268639774
2008-01-04,13.2,21.828458745268
2008-01-07,12.71,22.689232390779
2008-01-08,12.95,22.280246017774
2008-01-09,13.0,23.064929175284
2008-01-10,13.0,22.931770821282
2008-01-11,12.91,23.150530974285
2008-01-14,12.28,22.903236888282
2008-01-15,11.35,22.456205271276
2008-01-16,11.34,22.646431491278
2008-01-17,11.17,22.460960926776
2008-01-18,10.85,21.95686144377
2008-01-22,10.13,21.022375138009
2008-01-23,10.7599,21.311043426862
2008-01-24,10.1999,21.685789080267
2008-01-25,10.88,20.482608238752
2008-01-28,10.43,20.449318650251
2008-01-29,10.35,20.520653482752
2008-01-30,9.75,20.924884200257
2008-01-31,10.17,21.728589979767
2008-02-01,10.27,21.842725711769
2008-02-04,10.37,22.013929309771
2008-02-05,10.35,21.195956563761
2008-02-06,10.49,21.338626228762
2008-02-07,10.09,21.12937738676
2008-02-08,9.93,21.17693394176
2008-02-11,10.0,21.210223530261
2008-02-12,10.172,21.443250649764
2008-02-13,10.6,21.614454247766
2008-02-14,10.8,21.276802707262
2008-02-15,10.85,21.219734841261
2008-02-19,11.0,21.486051549264
2008-02-20,10.9,21.685789080267
2008-02-21,11.39,20.891594611757
2008-02-22,10.49,20.411273406251
2008-02-25,10.26,20.744169291255
2008-02-26,10.35,20.953418133258
2008-02-27,10.14,20.825015434756
2008-02-28,10.2,21.619209903266
2008-02-29,10.22,22.503761826277
2008-03-03,9.82,23.098218763784
2008-03-04,10.08,23.454892926288
2008-03-05,10.2,23.283689328286
2008-03-06,10.02,22.73678894578
2008-03-07,10.1,23.160042285285
2008-03-10,9.87,21.93783882177
2008-03-11,9.86,22.473135404856
2008-03-12,9.42,22.831902055781
2008-03-13,9.99,23.060173519784
2008-03-14,10.0,22.613141902778
2008-03-17,9.59,22.237445118273
2008-03-18,9.96,22.869947299781
2008-03-19,9.36,22.617897558278
2008-03-20,8.95,23.031639586783
2008-03-24,9.48,23.59280693579
2008-03-25,9.94,24.258598705798
2008-03-26,9.89,23.892413232294
2008-03-27,9.99,23.768766189292
2008-03-28,9.73,23.59280693579
2008-03-31,10.01,24.505892791801
2008-04-01,10.99,25.147906284309
2008-04-02,11.84,24.681852045304
2008-04-03,11.84,24.567716313302
