Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,0.810000,0.830000,0.520000,0.700000,0.700000,8010200
2013-06-01,0.660000,0.780000,0.620000,0.660000,0.660000,5224200
2013-07-01,0.690000,1.730000,0.670000,1.320000,1.320000,3738900
2013-08-01,1.390000,2.330000,1.250000,2.220000,2.220000,9924300
2013-09-01,2.250000,2.340000,1.510000,1.740000,1.740000,17476900
2013-10-01,1.710000,3.120000,1.550000,1.840000,1.840000,52311300
2013-11-01,1.830000,2.330000,1.550000,2.250000,2.250000,15169500
2013-12-01,2.250000,4.750000,1.980000,4.630000,4.630000,43074500
2014-01-01,4.550000,5.550000,3.560000,4.640000,4.640000,61764800
2014-02-01,4.730000,6.750000,3.820000,5.790000,5.790000,63459600
2014-03-01,5.780000,6.870000,3.670000,4.080000,4.080000,100749200
2014-04-01,4.050000,4.500000,2.290000,2.840000,2.840000,60467900
2014-05-01,2.800000,3.250000,2.340000,2.900000,2.900000,39787000
2014-06-01,2.940000,3.490000,2.680000,2.900000,2.900000,42113600
2014-07-01,2.910000,3.010000,2.500000,2.530000,2.530000,27930100
2014-08-01,2.520000,2.970000,2.380000,2.890000,2.890000,18103100
2014-09-01,2.900000,2.900000,2.280000,2.290000,2.290000,14994300
2014-10-01,2.310000,2.720000,1.940000,2.550000,2.550000,17133100
2014-11-01,2.550000,3.280000,2.300000,3.110000,3.110000,15628600
2014-12-01,3.240000,4.780000,3.090000,4.410000,4.410000,65790300
2015-01-01,4.450000,5.480000,4.330000,4.520000,4.520000,37703600
2015-02-01,4.530000,5.240000,3.760000,4.870000,4.870000,46940900
2015-03-01,4.920000,4.950000,3.250000,3.710000,3.710000,51988800
2015-04-01,3.810000,3.920000,2.710000,2.810000,2.810000,31622900
2015-05-01,2.820000,3.850000,2.650000,3.840000,3.840000,37287800
2015-06-01,3.860000,3.910000,3.290000,3.710000,3.710000,37194400
2015-07-01,3.750000,4.160000,3.340000,3.580000,3.580000,35263400
2015-08-01,3.610000,3.680000,2.270000,2.890000,2.890000,40608700
2015-09-01,2.950000,3.920000,2.750000,3.350000,3.350000,42185900
2015-10-01,3.280000,3.390000,2.650000,2.760000,2.760000,24778300
2015-11-01,2.770000,4.090000,2.770000,3.880000,3.880000,22998000
2015-12-01,3.900000,4.420000,3.020000,3.090000,3.090000,37351500
2016-01-01,3.030000,3.100000,1.500000,1.940000,1.940000,31880300
2016-02-01,1.940000,2.060000,1.550000,1.780000,1.780000,16780300
2016-03-01,1.800000,2.290000,1.750000,1.980000,1.980000,22471900
2016-04-01,1.960000,2.140000,1.650000,1.660000,1.660000,22097600
2016-05-01,1.690000,1.710000,1.190000,1.580000,1.580000,18495900
2016-06-01,1.570000,1.720000,1.330000,1.530000,1.530000,12460600
2016-07-01,1.530000,1.750000,1.520000,1.720000,1.720000,6697100
2016-08-01,1.740000,2.090000,1.660000,1.910000,1.910000,10786800
2016-09-01,1.900000,3.330000,1.860000,2.560000,2.560000,30672600
2016-10-01,2.570000,2.660000,1.550000,1.550000,1.550000,47334800
2016-11-01,1.520000,2.020000,1.430000,1.690000,1.690000,23742900
2016-12-01,1.680000,1.750000,1.450000,1.500000,1.500000,18827900
2017-01-01,1.520000,1.660000,1.300000,1.400000,1.400000,16420600
2017-02-01,1.450000,1.950000,1.410000,1.870000,1.870000,21554400
2017-03-01,1.930000,2.600000,1.790000,2.470000,2.470000,52294000
2017-04-01,2.550000,2.620000,2.080000,2.350000,2.350000,29104400
2017-05-01,2.340000,2.400000,1.570000,1.630000,1.630000,22190100
2017-06-01,1.630000,1.950000,1.510000,1.900000,1.900000,15449800
